"SkyHub Integration","Integração SkyHub"
"General Configuration","Configurações Gerais"
"Log Configuration","Configurações de Log"
"API Service Configuration","Configurações do Serviço API"
"Enabled","Habilitado"
"Yes","Sim"
"No","Não"
"Visibilities for Integration","Visibilidades a serem integradas"
"Magento will send to Skyhub the products with these visibilities","Magento enviará para a Skyhub os produtos com estas visibilidades"
"Log Filename","Nome do Arquivo de Log"
"Base URI","URI Base"
"Email","Email"
"API Key","Chave API"
"API Token","Token API"
"Product Attributes","Atributos de Produto"
"Attributes Mapping","Mapeamento de Atributos"
"Queues Visualization","Acompanhamento de Filas"
"Pre-post list (PLP)","Pré-lista de Postagem (PLP)"
"Configuration","Configuração"
"Integration Pending Products","Produtos Pendentes de Integração"
"Products With Integration Errors","Produtos com Erros de Integração"
"Product Attributes Mapping","Mapeamento de Atributos de Produto"
"Type","Tipo"
"Magento Attribute Code","Código de Atributo no Magento"
"SkyHub Label","Nome na SkyHub"
"SkyHub Description","Descrição do Atributo"
"Unlinked Attributes","Atributos Não Relacionados"
"You have SkyHub required attributes which are not mapped with your Magento attributes:","Você possui atributos obrigatórios na SkyHub que não estão mapeados com seus atributos Magento:"
"The first step to start using the module is configuring them.","O primeiro passo para começar a utilizar o módulo é configurá-los."
"You can manage them in the <a href=""%s"">Attributes Mapping Manager</a> page.","Você pode gerenciá-los na página <a href=""%s"">Gerenciar de Mapeamento de Attributes</a>."
"Attribute Map Manually","Mapear Atributo Manualmente"
"Create and Map a New Attribute Automatically","Criar e Mapear o Atributo Automaticamente"
"Edit Product Attribute Mapping","Editar Mapeamento de Atributo de Produto"
"General Information","Informações Gerais"
"SkyHub Code","Código SkyHub"
"Related Attribute","Atributo Relacionado"
"Product Height","Altura do Produto"
"Product Width","Largura do Produto"
"Product Length","Profundidade do Prduto"
"Product Brand","Marca do Produto"
"Product EAN","EAN do Produto"
"Product NBM","NBM do Produto"
"Module Not Configured","Módulo Não Configurado"
"The module for integration with SkyHub is not properly configured.","O módulo de integração com o SkyHub não está configurado corretamente."
"You can configure the module going to <a href=""%s"">BSeller SkyHub Configuration</a> page.","Você pode configurá-lo navegando até a página de <a href=""%s"">Configuração do BSeller SkyHub</a>."
"The amount of products to be queued per time. The default quantity is 500 at time.","A quantidade de produtos a serem enfileirados por vez. Por padrão a quantidade é de 500 por vez."
"The amount of products to be integrated per time. The default quantity is 500 at time.","A quantidade de produtos a serem integrados por vez. Por padrão a quantidade é de 500 por vez."
"Product Attributes Queue Enabled","Ativar Fila de Atributes de Produto"
